Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-11-08,93.15,93.15,92.9,92.9,6351,51,124.53,6351
2024-11-11,91.1,94.75,91.1,94.75,9450,34,277.94,9450
