symbol,name
SALASAR,SALASAR TECHNO ENGG. LTD.
WENDT,WENDT (INDIA) LTD
FLAIR,FLAIR WRITING INDUST LTD
PRECAM,PRECISION CAMSHAFTS LTD.
EVEREADY,EVEREADY INDS. IND. LTD.
INTERARCH,INTERARCH BUILDING PROD L
KCP,KCP LTD
KRN,KRN HEAT EXCHANGE N REF L
AUTOAXLES,AUTOMOTIVE AXLES LTD
RAJRATAN,RAJRATAN GLOBAL WIRE LTD
RAMRAT,RAM RATNA WIRES LTD
SOMANYCERA,SOMANY CERAMICS LTD
NRBBEARING,NRB BEARING LTD
RANEHOLDIN,RANE HOLDINGS LTD
HLEGLAS,HLE GLASCOAT LTD
HINDWAREAP,HINDWARE HME INOVATON LTD
MOLDTKPAC,MOLD-TEK PACKAGING LTD
AEROFLEX,AEROFLEX INDUSTRIES LTD
MMFL,MM FORGINGS LTD
INDOTECH,INDO TECH TRANSFORM LTD.
LUMAXIND,LUMAX INDUSTRIES LTD
INDIANHUME,INDIAN HUME PIPE CO. LTD.
IGARASHI,IGARASHI MOTORS INDIA LTD
PARACABLES,PARAMOUNT COMM LTD
FMGOETZE,FEDERAL-MOGUL GOETZE (IND
TIL,TIL LTD
PIXTRANS,PIX TRANSMISSIONS LTD
MANINDS,MAN INDUSTRIES (I) LTD.
ALICON,ALICON CASTALLOY LTD
EKC,EVEREST KANTO CYLINDERLTD
HIRECT,HIND RECTIFIER LTD
IFGLEXPOR,IFGL REFRACTORIES LTD
UNIPARTS,UNIPARTS INDIA LTD
DIVGIITTS,DIVGI TORQTRANSFER SYST L
DYCL,DYNAMIC CABLES LTD
TALBROAUTO,TALBROS AUTO. COMP. LTD
SALZERELEC,SALZER ELECTRONICS LTD
STERTOOLS,STERLING TOOLS LTD
NDRAUTO,NDR AUTO COMPONENTS LTD
DEEDEV,DEE DEVELOPMENT ENG LTD
JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD
GRPLTD,GRP LTD
ADORWELD,ADOR WELDING LTD
SWELECTES,SWELECT ENERGY SYS LTD
ROTO,ROTO PUMPS LTD
GNA,GNA AXLES LTD
WHEELS,WHEELS INDIA LTD
BHARATWIRE,BHARAT WIRE ROPES LTD.
INDNIPPON,INDIA NIPPON ELECT LTD
SOLEX,SOLEX ENERGY LTD
WALCHANNAG,WALCHANDNAGAR INDUSTRIES
RML,RANE (MADRAS) LTD
YUKEN,YUKEN INDIA LTD
EIMCOELECO,EIMCO ELECON (INDIA) LTD
KABRAEXTRU,KABRA EXTRUSION TECHNIK L
HITECHGEAR,THE HI-TECH GEARS LTD
GALAPREC,GALA PRECISION ENG LTD
ICEMAKE,ICE MAKE REFRIGERAT LTD
SATINDLTD,SAT INDUSTRIES LTD
RISHABH,RISHABH INSTRUMENTS LTD
WINDMACHIN,WINDSOR MACHINES LTD
KECL,KIRLOSKAR ELECTRIC CO LTD
DIFFNKG,DIFFUSION ENGINEERS LTD
RICOAUTO,RICO AUTO INDUSTRIES LTD
MUNJALAU,MUNJAL AUTO IND. LTD.
EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD
MACPOWER,MACPOWER CNC MACHINES LTD
UNIENTER,UNIPHOS ENTERPRISES LTD
ASAL,AUTOMOTIVE STAMPINGS & AS
KROSS,KROSS LTD
ESFL,ESSEN SPECIALITY FILMS L
KRITI,KRITI INDUSTRIES IND LTD
COOLCAPS,COOL CAPS INDUSTRIES LTD
VMARCIND,V MARC INDIA LTD
ASIANTILES,ASIAN GRANITO IND. LTD.
NITCO,NITCO LTD
ZODIAC,ZODIAC ENERGY LTD
WSI,W.S.INDUSTRIES (I) LTD.
FOCUS,FOCUS LIGHTG & FIXTRS LTD
PAVNAIND,PAVNA INDUSTRIES LTD
RBL,RANE BRAKE LINING LTD
PYRAMID,PYRAMID TECHNOPLAST LTD
TEMBO,TEMBO GLOBAL IND LTD
HINDCOMPOS,HINDUSTAN COMPOSITES LTD.
BIRLACABLE,BIRLA CABLE LTD
MENONBE,MENON BEARINGS LTD
DPWIRES,D P WIRES LTD
MEGATHERM,MEGATHERM INDUCTION LTD
HERCULES,HERCULES HOI. LTD.
MUNJALSHOW,MUNJAL SHOWA LTD
RMDRIP,R M DRIP & SPRINK SYS LTD
SUPREMEPWR,SUPREME POWER EQUIPMENT L
ATMASTCO,ATMASTCO LTD
REMSONSIND,REMSONS INDUSTRIES LTD
SPCL,SHIVALIC POWER CONTROL L
ORICONENT,ORICON ENTERPRISES LTD
INTLCONV,INTL CONVEYORS LTD
URAVI,URAVI T AND WEDG LAMP LTD
MAZDA,MAZDA LTD
ELGIRUBCO,ELGI RUBBER CO. LTD
SHIVAMAUTO,SHIVAM AUTO.LTD
HITECHCORP,HITECH CORPORATION LTD
TRF,TRF LTD
TIRUPATIFL,TIRUPATI FORGE LTD
ORIENTBELL,ORIENT BELL LTD
S_SPOWER,S&S POWER SWITCHGEARS
SHERA,SHERA ENERGY LTD
EMMIL,ENERGY MISSION MACH IND L
AUTOIND,AUTOLINE INDUSTRIES LTD
KATARIA,KATARIA INDUSTRIES LTD
NIPPOBATRY,INDO-NATIONAL LTD
SINTERCOM,SINTERCOM INDIA LTD
EXXARO,EXXARO TILES LTD
PRITIKAUTO,PRITIKA AUTO INDUS LTD
KRISHCA,KRISHCA STRAPPING SLTN L
BEWLTD,BEW ENGINEERING LTD
GUJAPOLLO,GUJ. APOLLO IND. LTD.
PILITA,PIL ITALICA LIFESTYLE LTD
UCAL,UCAL LTD
KRITIKA,KRITIKA WIRES LTD
