symbol,name
SESHAPAPER,SESHASAYEE PAPER & BOARDS
EXCELINDUS,EXCEL INDUSTRIES LTD
SIRCA,SIRCA PAINT INDIA LTD
CAMLINFINE,CAMLIN FINE SCIENCES LTD
GODAVARIB,GODAVARI BIOREFINERIES L
IGPL,I G PETROCHEMICALS LTD
BSHSL,BOMBAY SUPER HYBRID SEEDS
SADHNANIQ,SADHANA NITROCHEM LTD
HIMATSEIDE,HIMATSINGKA SEIDE LTD
AGARIND,AGARWAL INDS CORP LTD.
MANGCHEFER,MANG.CHEM.FERT.LTD
SPIC,SPIC LTD
BOROSCI,BOROSIL SCIENTIFIC LTD
DCMSRIND,DCM SHRIRAM IND LTD
CHEMFAB,CHEMFAB ALKALIS LTD
AMNPLST,AMINES & PLASTICIZERS LTD
MADRASFERT,MADRAS FERTILISERS LTD
CLSEL,CHAMAN LAL SETIA EXP LTD
ANDHRSUGAR,ANDHRA SUGARS LTD
ESTER,ESTER INDUSTRIES LTD
PUNJABCHEM,PUNJAB CHEM & CROP PROT L
GRMOVER,GRM OVERSEAS LTD
JGCHEM,J.G.CHEMICALS LTD
SRHHYPOLTD,SREE RAYALSEEMA HHP LTD.
DHUNINV,DHUNSERI INVESTMENTS LTD
KRISHANA,KRISHANA PHOSCHEM LTD
KOTHARIPET,KOTHARI PETROCHEM LTD
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.
CENTENKA,CENTURY ENKA LTD
FAIRCHEMOR,FAIRCHEM ORGANICS LTD
SPORTKING,SPORTKING INDIA LTD
RAJRILTD,RAJ RAYON INDUSTRIES LTD
BESTAGRO,BEST AGROLIFE LTD
AVADHSUGAR,AVADH SUG & ENERGY LTD
TNPL,TAMILNADU NEWSPRT & PAPER
ARROWGREEN,ARROW GREENTECH LTD
HEUBACHIND,HEUBACH COLORANTS IND LTD
MANALIPETC,MANALI PETROCHEMICALS LTD
UTTAMSUGAR,UTTAM SUGAR MILLS LTD.
INDOAMIN,INDO AMINES LTD
AYMSYNTEX,AYM SYNTEX LTD
KUANTUM,KUANTUM PAPERS LTD
